id	osmid	name	tappa
14544	7164320	Sentiero Italia - Tappa U27
14679	7705142	Sentiero Italia - Tappa D32N
14711	9225577	Sentiero Italia - Tappa E55
14751	7570142	Sentiero Italia - Tappa E04
14805	9369870	Sentiero Italia - Tappa E05
14806	7570143	Sentiero Italia - Tappa E03
14831	9228412	Sentiero Italia - Tappa E68
14848	9515387	Sentiero Italia - Tappa V23E
14884	6946407	Sentiero Italia - Tappa D29S
15073	11380337	Sentiero Italia - Tappa L16
15233	9220577	Sentiero Italia - Tappa E53
15302	7668749	Sentiero Italia - Tappa E35
15311	7670034	Sentiero Italia - Tappa E47
15382	11594745	Sentiero Italia - Tappa O09
15432	7635772	Sentiero Italia - Tappa E24
15443	6946406	Sentiero Italia - Tappa D28S
15473	8427595	Sentiero Italia - Tappa V09
15496	8432308	Sentiero Italia - Tappa V12
15501	7874964	Sentiero Italia - Tappa V08
15503	9446524	Sentiero Italia - Tappa L03N
15554	8433890	Sentiero Italia - Tappa V28
15555	8433891	Sentiero Italia - Tappa V29
15598	8046182	Sentiero Italia - Tappa V03
15647	7670031	Sentiero Italia - Tappa E49
15799	7635773	Sentiero Italia - Tappa E23
15908	11376684	Sentiero Italia - Tappa T05
15934	11376909	Sentiero Italia - Tappa T06
16015	6946446	Sentiero Italia - Tappa D24S
16041	9230884	Sentiero Italia - Tappa E51N
16095	6987309	Sentiero Italia - Tappa Z04
16269	7669951	Sentiero Italia - Tappa E41
16442	7706215	Sentiero Italia - Tappa D11SA
17231	6946404	Sentiero Italia - Tappa D26S
17266	9290790	Sentiero Italia - Tappa R11B
17267	12886386	Sentiero Italia - Tappa R11A
17333	9298853	Sentiero Italia - Tappa Q04
17334	7198208	Sentiero Italia - Tappa S13
17335	9298098	Sentiero Italia - Tappa R14
17336	11373828	Sentiero Italia - Tappa T02
17338	9298841	Sentiero Italia - Tappa Q03
17340	11374277	Sentiero Italia - Tappa T03
17352	7682599	Sentiero Italia - Tappa L04N
17381	7601357	Sentiero Italia - Tappa E19
17514	7599317	Sentiero Italia - Tappa E15
17522	7187731	Sentiero Italia - Tappa S08
17527	7700942	Sentiero Italia - Tappa D24N
